Mot;Abréviation;Définition
CARPE,;adj., fr., fr., a., fr.;" dit  des  animaux  qui  ont  des  épis  dans  le  poil,  des  touffes  qui  se  hérissent.  Comme  le  fr.  escarpe,  de  l'anc.  h.  allem.  scarp  ;  allem.  scharf,  aigu,  qui  est  en  pointe,  en  aigrette?  Angl.  Sharp;  holl.  scherp.  L'anglais  carpet,  tapis,  semble  avoir  un  rapport  d'origine  avec  car-  ping,  pointilleux  au  fig.,  et  avec  le  vi.  fr.  carpite  qui  désignait  en  même  temps  un  tapis  et  un  drap  peut-être  à  poils  un  peu  rebours.  Néanmoins  carpe  pourrait  n'être  qu'une  métath.  de  crêpé  avec  le  changement  ordinaire  de  l'e  en  a.  Le  1.  crisjmre  signifiait  hérisser.  En  fr.  crêpé,  crispé,  renferment  la  même  idée."
CARQUESSE,;s., f., Morv., n.;f.  On  donne  ce  nom,  je  crois,  à  la  petite  ciguë  qu'on  appelle  aussi  faux  persil.  La  carquesse  est  vénéneuse.  Morv.  n.  Berry  :  «  cocue,  cocuasse  »,  grande  ciguë.
CARREGER,;a., Morv.;v.  a.  Charroycr,  transporter  sur  une  voiture.  Morv.  n.-n.-o.  «  sarréeer.  »  Brantôme
ÇARZER,;V., a., Morv., n.;a.  Charger,  mettre  une  charge  sur...  confier  une  mission  à  quelqu'un,  etc.  C  doux  pour  ch  et  permutation  de  g  en  z.  Morv.  n.
CASSAULE,;adj.; adj.  Sujet  à  être  cassé.  Le  verre  a  été  très  «  cassaule  »  jusqu'à  ce  jour.  Une  invention  nouvelle  va,  dit-on,  changer  cela.
CASSE,;adj.; adj.  des  deux  genres.  Cassé,  courbé,  rompu,  fatigué,  affaibli  :  «  C'te  fonne  n'ô  pâ  veille,  ma  ile  ô  diji  casse  »,  cette  femme  n'est  pas  vieille  mais  elle  est  déjà  courbée.
{R.;V.; de  la  R.  V.  6995.)
CASSE,;s., f.;s.  f.  Bassin  à  queue  dont  on  se  sert  pour  boire  :
CASSI,;adj., Saint.;"E,  adj.  Se  dit  des  terres  grasses  qui,  par  suite  de  la  sécheresse,  se  ramassent  en  petites  mottes  compactes.  Nous  avons  l'adj.  seulement,  mais  le  subst.  existe  dans  plusieurs  patois.  Berry  :  «  casse  »,  motte  de  terre,  glèbe  ;  «  cassaille  »,  pre-  mier labour  ;  —  Poitou  :  «  casse  » ,  motte  de  terre  ;  01  casson  »,  terrain  qui  est  en  mottes;  —  Saint.  «  casson  »  =  tesson."
CASSIE,;s., f.;s.  f.  La  quantité  de  liquide  que  peut  contenir  une  casse  :  une  pleine  «  cassie.  »  (Voy.  Casse.)
CASSEVE,;s., f.;s.  f.  Rosse,  haridelle.  De  «  casse  »,  fatigué,  vieilli,  usé  ?
CASSON,;s., m., Gloss.; m.  On  dit  des  matières  farineuses  qu'elles  sont  «  en  cassons  »  lorsqu'elles  se  ramas-  sent par  l'effet  de  l'humidité  et  s'agglutinent  en  grumeaux  isolés.  Casson  en  vi.  fr.,  motte  de  terre  argileuse,  de  terre  liée  ensemble.  En  Fr. -Comté,  «  caton  »  :=  grumeau.  —  En  Berry,  «  caton  »,  et  «  catonner  »,  s'agglomérer.  —  Un  compte  des  re-  venus de  la  ville  de  Bourges,  cité  par  le  Gloss.  du  Centre,  semble  donner  raison  à  la  forme  caton  :  «  Cinquante  boisseaulx  d'aultre  farine  qui  estoient  dans  la  dicte  tour  et  environ  dix  boisseaulx,  tant  Catonnée  que  plaine  de  mittes.  »  La  prononc.  ré-  putée vicieuse  de  castonade  pour  cassonade  cor-  respondrait alors  à  la  forme  caton  ou  caston,  sui-  vant l'anc.  orthographe.  Ménage  qui  tient  pour  cassonade,  parce  qu'il  rattache  le  mot  à  casse  ou  caisse,  dit  expressément  que  :  «  L'usage  est  par-  tagé à  Paris  entre  castonade  et  cassonade,  mais  qu'il  y  est  partagé  de  sorte  que  le  plus  grand  nombre  est  de  ceux  qui  disent  castonade.  »  On  appelait  aussi  caton  une  sorte  de  gâteau.  En  1469,  parmi  les  pâtisseries  offertes  au  duc  d'Orléans,  on  voit  figurer  six  Katons.  (Mantellier,  II,  p.  548.)
CASTILLE,;s., f., Gloss., Morv.;f.  Fragment  de  pierre  à  chaux  qui  éclate  dans  le  feu  en  soulevant  la  cendre.  Le  Gloss.  du  Centre  donne  à  ce  terme  une  acception  technique.  La  castillc  ou  castine  est  une  pierre  calcaire  que  l'on  mélange  au  minerai  de  fer  pour  en  faciliter  la  fusion.  En  Berrycommedansle  Morv.  n.castille  s'emploie  au  propre  et  au  figuré.  Castille
CASTRER,;V., a., fr., c.-à-d.;a.  Châtrer.  Castrer  se  dit  pour  châtrer  non-seulement  dans  nos  campagnes,  mais  dans  toutes  les  villes  de  la  région.  Il  est  singulier  que  le  fr.  qui  a  castrat  et  castration,  n'ait  pas  l'infinitif  qui  existe  en  rom.  prov.,  en  ital.,  en  esp.,  en  port,  et  même  dans  l'anglais  to  castrate.  Castrer  et  châtrer  sont  ce  qu'on  appelle  un  doublet,  c.-à-d.  une  double  forme,  sortie  du  même  mot  latin  cas-  trare,  châtrer,  amputer,  retrancher.  Castrer  est  la  forme  pic.  répandue  dans  la  plupart  des  patois.  On  tire  ordinairement  castrat  de  l'ital.  castrato.  Pourquoi  pas  du  latin  castratus  qui  a  donné  au  rom  prov.  castrat  ?
CATAPLAJIE.;s., m.;s.  m.  Cataplasme.  On  voit  dans  les  Hijpomnèses  de  H.  Estienne  (ju'au  XVI'  siècle  on  prononçait  cataplesme.  Il  est  fort  probable  que  l's  ne  sonnait  ni  dans  l'une  ni  dans  l'autre  forme  du  mot.
CATAEEU,;fr.; EUSE,  aclj.  Sujet  à  se  gâter,  à  se  corrompre,  à  perdre  en  qualité,  chanceux  :  ce  com-  merce est  «  catarcux  »,  cette  affaire  est  «  catareuse.  »  Une  partie  du  ^Morvan  prononce  «  catereux  »  comme  le  vi.  fr.  Chifflet  remarque  que  cette  dernière  forme  était  seule  usitée  au  XVII'  siècle.  Ménage  la  pré-  sente cependant  comme  une  corruption  de  catarre.  On  peut  consulter  le  passage  de  H.  Estienne  qu'il  cite  à  l'appui  de  son  assertion.  Au  XVP  siècle,  Palsg.,  -p.  582,  -  disait  :  «  J'ay  la  catarre,  ou  je  suis  enrimé.  »  Le  sens  de  diminution,  d'amoin-  drissement, d'altération  qui  existe  dans  l'acception  oîi  notre  patois  emploie  le  mot  et  aussi  dans  le  verbe  berrichon   «  caterer  »,  se   retrouve  dans  le  grec
A;dimin.; la  Catheline  Tout  bois  prend  racine.  Palsgrave,  -  p.  488,  -  traduit  le  dimin.  anglais  Kate  par  notre  mot  :  «  Viens  moy  accoler  Cate-  lyne.  »
CATIAU,;s., m.;s.  m.  Château.  On  donne  par  cour-  toisie ce  nom  à  toutes  les  maisons  bourgeoises  atta-  chées à  un  domaine  d'une  certaine  importance.  Le  château  en  Moi'van  est  le  principal  «  chà  »  du  pays,  voilà  tout.  (Voy.  Châ.)
CATIN,;s., f.;s.  f.  Poupée  d'enfant.  Ce  mot  qui  sonne  assez  mal  à  l'oreille  est  très  répandu  en  Bourg,  comme  en  Niv.  Il  n'est  pas  autre  chose  qu'une  forme  diminutive  et  familière  de  Catherine.  La  «  catin  »  de  nos  petites  filles  tient  donc  son  nom
CATU,;s., m.;"s.  m.  Pays  lointain,  au  dehors,  à  l'étran-  ger; «  voir  du  câtu  »,  c'est  voir  du  pays,  comme  on  dit  en  fr.,  c'est  voyager.  Ulysse,  s'il  faut  en  croire  Homère,  est  un  des  hommes  de  l'antiquité  qui  ont  vu  le  plus  de  «  câtu.  »  Dans  l'argot,  «  castus  »  signifie  hôpital.  Ce  terme  est  probablement  iden-  tique à  «  câtu  »,  avec  une  signifie,  empruntée  à  la  vie  errante."
CAUSER,;V., a., fr.; a.  Ce  verbe  qui  ne  s'emploie  acti-  vement en  fr.  que  par  une  ellipse  comme  dans  cette  phrase  :  causer  sciences,  arts,  littérature,  etc.,  est  actif  dans    notre  patois.    On  dit   cet  homme  m'a
CAUSOU,;s., m., f.; s.  m.  et  f.  Causeur,  bavard,  musard  :  «  un  causou,  une  causouse.  »
CAUSSÉE,;s., f., c.-à-d.; f.  Ouvrage  fait  à  bâtons  rompus,  à  moments  perdus  :  «  i  l'é  fé  ai  caussées  »,  c.-à-d.  à  plusieurs  reprises.
CAUTESTE,;s., f., dimin., dér., fr., fr.;Femme  câline,  enjôleuse,  qui  flatte  par  intérêt.  «  Cantine  »  est  un  dimin.  fém.  de  caut,  caute,  qui  dans  l'anc.  langue  signifiait  rusé,  prudent,  dér.  du  1.  cautus.  Cautelle,  en  vi.  fr.  =  tromperie.  En  fr.  moderne,  cauteleux  =  prudent  jusqu'à  la  duplicité.
CÀVRE,;s., f.;s.  f.  Cave,  lieu  souterrain  :  «  voiqui  lai  quié  d'iai  câvre  »,  voici  la  clef  de  la  cave.  Chif-  flet  dit  que  de  son  temps  on  prononçait  cave.
CE,;prép., Morv., n., fr.;Chez.  Morv.  n.  :  «  a  n'ô  pâ  ce  lu  »,  il  n'est  pas  chez  lui.  Le  vi.  fr.  avait  les  formes  chés  et  chiés  que  quelques  dialectes  prononçaient  ces  et  ciés.
CELAI,;pron.; pron.  démonst.  Cela.  On  prononce ç'iai.
CE3IENÉRE,;s., f., Morv., n., esp.;" Chenevière.  Morv.  n.  En  esp.  ca?ia»iar,  chenevière  ;  caimmo,  chanvre  ;  cana-  mon,  chenevis."
CEMENOT,;s., m., Morv., n.;m.  Petit  chemin,  sentier  dans  les  champs.  Morv.  n.
CEMENOTTE,;s., f., Morv., n.;f.  Chanvre  qui  a  été  tillé.  Morv.  n.  (Voy.  Chevenotle.]
CE3IIE,;s., f., Morv., n.;f.  Chemise.  Morv.  n.  On  mouille  l'e  final  de  manière  à  figurer  pour  l'oreille  le  son  des  deux  1  comme  dans  famille.
CEIHINGN',;s., m., Morv., n.;m.  Chemin,  sentier,  voie.  Morv.  n.
CENALE,;s., f.;s.  f.  Cenelle,  fruit  de  l'aubépine  et  non  du  houx  :
CENAXÉ,;s., m.;"s.  m.  Cenellicr,  aubépine  ou  épine  blanche  ;  arbuste  qui  produit  les  cenelles.  On  lit  dans  Duc.,  -  à  Senellus,  -  «  Senelei  vero  sepem  sonat  apud  Nivernenses »"
CÉNEVIAU,;s., m.;s.  m.  Filet  de  pêche.  (Voy.  Che-  voneau.)
GENIE,;s., f.;s.  f.  Cendi-e  chaude,  sous  laquelle  il  y  a  encore  du  feu.  On  prononce  «  cenise  »  dans  les  villes  et  «  c'nie  »  dans  les  campagnes.
GENEE,;s., f., Bourg., ital.;"f.  Cendre,  poussière  des  matières  brû-  lées. Bourg.  «  carre  »  ;  —  rom.  prov.  cenre  ;  —  ital.  cenere,  cendre  ;  —  port,  cenrada,  charrée.  Du  1.  cinerem,  vég.  de  cinis,  cendre.  (Voy.  Cenie.)"
GENRE,;s., m., fr.; m.  Linge  qu'on  étend  sur  la  cendre  du  cuvier  où  se  fait  la  lessive.  La  forme  fr.  serait  cendrier.  (Voy.  Fleuret.)
CENRER,;V., a.;V.  a.  Cèndrer,  mettre  de  la  cendre.  «  Cenrer  »  un  champ.  Une  terre  bien  «  cenrée  »  donne  une  bonne  récolte.  La  cendre  est  l'amendement  par  excellence  de  nos  terres  granitiques.  On  en  importe  des  quantités  énormes  recueillies  en  Bourgogne  et  en  Nivernais.  L'emploi  plus  étendu  du  phosphate  fossile  fournira  un  précieux  supplé-  ment.
GENROU,;adj.;" OUSE,  adj.  Cendreux,  couleur  de  cen-  dre ;  rempli  de  cendre,  couvert  de  cendre."
CEQUI,;pron.;" pron.  démonstr.  Ceci  ;  en  opposition  avec  celai  ^  cela  :  «  c'qui  ô  ai  moue,  c'iai  ô  ai  toué  »  ;  ceci  est  à  moi,  cela  est  à  toi."
CÊQHIE,;s., m.; s.  m.   Cercle.  Se   dit  principalement
CÉQHIER,;V., a.;V.  a.  Mettre  un  cercle  à  un  tonneau.
CERFEU,;s., m.;s.  m.  Cerfeuil,  plante  potagère.
CERIE,;s., f., fr.; f.  Cerise,  fruit  du  cerisier  :  «  eune  c'rie  meure.  »  Nous  prononçons  en  le,  quelquefois  en  ille,  beaucoup  de  mots  fr.  aujourd'hui  en  ise.  Nous  disons  bctie,  cerie,  chemie,  marchandie,  sot-  tie, pour  bêtise,  cerise,  chemise,  marchandise,  sottise,  etc.  Comp.  avec  le  langucd.  «  cérieiro  »,  cerise,  et  l'anglais  cherry.  Auvergne  :  «  céleira.  »
CERÏÉ,;s., m., Lang.; m.  Cerisier,  arbre  qui  porte  les  cerises  :  «  eun  ç'rié  sauvaige  «,  un  cerisier  sau-  vage, un  griottier.  Lang.  «  cérièire  »,  cerisier.
CERNER,;a., Morv., n.;" a.  Châtrer.  Morv.  n.  corner.  Si  l'r  n'est  pas  épenthctique,  cerner  pourrait  venir  de  cerne,  dér.dul.cû'cinare,  tiré  de  circus, cercle,  par  allusion  au  procédé  qu'emploie  l'opérateur  en  châ-  trant un  porc;  mais  la  forme  la  plus  générale  dans  les  patois  est  «  cener,  sener  »  ou  «  saner.  »  Comp.  avec  l'esp.  cercenar,  couper  en  rond,  retrancher.  Le  cercenador  est  celui  qui  rogne,  qui  coupe  en  retranchant.  (Voy.  Cli'ner,  Sener.)"
CERTAIN,;adj., loc.;E,  adj.  Assuré,  digne  de  confiance,  d'une  qualité  reconnue.  Onditd'un  remède^éprouvé  qu'il  est  «certain  »,  d'une  vache  prise  à  l'essai  qu'elle  n'est  pas  «  certaine.  »  La  loc.  s'emploie  même  en  parlant  des  personnes  :  ne  vous  fiez  pas  à  ces  gens  là,  ils  ne  sont  pas  «  certains.  »  Palsg.,  -  p.  299,  -  entre  dans  cette  acception  lorsqu'il  cite  une  belle  parole  attribuée  à  Alain  Chartier  :  «  Tu  vois  don-  ques  comme  les  règnes  et  les  puissances  establyes  sans  doctrine  ou  condutz  par  déraison  sont  non  Certaines  et  tirent  le  roy  et  le  royalme  cà  mort.  »
CETELE-QUI,;pron.; pron.  dcmonst.  Celle-ci.  On  pro-  nonce souvent  «  c'tel-quite»,  intercalant  quelque!,  le  subst.  entre  deux  :  «  c'tell'-maion-quite  »,  cette  maison-ci.  (Voy.  Cetu-qui,  Ceule.)
CETI-LAI.;pron.; pron.  démonst.  des  deux  genres.  Ce-  lui-là, celle-là  par  opposition  avec  «  cetu-qui  »  et  a  cetele-qui  »,  celui-ci,  celle-ci,  au  pluriel  «cé-qui»,
CETU-QUI,;pron., fr.;pron.  démonst.  Celui-ci.  En  vi.  fr.  cestui,  ccttuy-cy.  Qui  saroit  tous  les  biens  que  moines  blans  font  hui.  Nul  bien  n'est  en  Ordre,  qui  nesoit  en  Cestui.
CEU,;adj.;" CEUTE,  CEUS,  CE,  adj.  démonst.  Ce,  cette,  ces  :  «  çô  l'ceu  qui  vô-z-é  s'coru  »,  c'est  ce-  lui qui  vous  a  secouru  ;  «  ceute  fonne-laite  »,  cette  femme-là  ;  «  i  veu  i  aller  ceus  ou  ce  jors-qui  »,  je  veux  y  aller  ces  jours-ci."
CEU3IETERE,;s., m.;s.  m.  Cimetière.  Dans  ses  Observ.  (1668)  Marg.  Buffet  nous  avertit  qu'il  ne  faut  pas  prononcer  ceumetière  ou  cemetière.  Aussi  pronon-  çons-nous ceumetére.
CE'\T10SSE,;s., f., Morv., n.;f.  La  partie  d'un  grenier,  d'un  fenil,  qui  se  trouve  le  long  des  murailles,  sous  le  toit,  sous  les  chevrons.  Morv.  n.  env.  de  Lormes.  Les  cultivateurs  de  la  région  recommandent  à  leurs  gens  de  bien  «  sacquer  le  foin  dans  les  cevrosses  »,  comme  ailleurs  on  prescrit  de  le  bien  «  chouacher  dans  les  lâreignes.  »
CHA,;s., m., Morv., n.;m.  Colle  de  farine  à  l'usage  des  tisse-  rands. Morv.  n.  «  sa.  »
CHÂ,;s., m.;s.  m.  Corps  de  bâtiment  pris  isolément.  Une  maison,  une  grange,  une  écurie,  forment  trois  «  châs  »  distincts.  La  définition  que  nous  donne  Ducange  au  mot  Chassum  :  «  Chas  partie  de  la  maison  où  l'on  fait  cuire  les  alimens,  cuisine,  fournil  »,  est  erronée.  Les  citations  qui  suivent  le  démontrent  assez  :
CHÂA;interj.;" !  interj.  dont  on  se  sert  pour  faire  avancer  les  bœufs  attelés  ;  forme  emphatique  de  ça  dont  le  c  doux  permute  en  ch  :"
CHÂBRE,;s., m., Morv., n.;m.  Sabre.  Morv.  n.
CHACIGNON,;s., m.;s.  m.  Chignon,  le  derrière  du  cou,  la  nuque.
CHÂDOUGNERÀ,;s., m., Morv., n.;m.  Chardonneret,  oiseau.  Morv.  n.  (Voy.  Chairdonneri.)
CHAGNAR,;s., m., Gloss., fr.;m.  Sournois,  cafard,  un  homme  en  dessous  comme  on  dit  vulgairement.  «  Cha-  gnard  »  se  trouve  dans  le  Gloss.  du  Centre  avec  la  signifie,  de  sournois,  têtu,  difficile  en  affaires.  Ce  mot  paraît  être  une  forme  dialectale  de  cagnard  qui,  outre  le  sens  d'indolent,  de  paresseux,  a  encore  en  fr.  celui  de  lâche,  de  poltron,  sens  qui  corres-
CHÂGNE,;s., m., Morv., n.;m.  Chêne.  Le  Morv.  n.  prononce  çâgne  :  «  miçante  rouette  de  çâgne  i  va  t'  quiorde  » ,  mauvaise  branche  de  chêne  je  vais  te  tordre.
(G.;V.; de  V.  p.  34.)
CHÂGNEAI,;s., m.;s.  m.  Bois  de  chênes.  Ne  s'emploie  guère  qu'au  pluriel  :  «  les  châgneais.  »  (Voyez  Châgneau.)
CHÀGNEAU,;s., m., fr.; m.  Bois  de  chênes.  De  nom-  breux cantons  de  bois  dans  le  Morvan  portent  cette  dénomination.  Le  département  de  la  Nièvre  a  plu-  sieurs hameaux  ou  habitations  qui  s'appellent  le  Chagnot  ou  Châgneau.  Le  Châgnot,  hameau  de  la  commune  de  Mont-et-Marré,  est  écrit  les  Chais-  gneaulx  en  1513  et  le  Châgneau  sur  la  carte  de  Cassini.  Plusieurs  autres  noms  de  lieu  se  ratta-  chent à  la  môme  signification  :  la  Chagnette,  le  Chagnon,  Chagnoux,  etc.  En  vi.  fr.  chesneau,  jeune  chêne.
CHAGXE-FORCHÉ,;loc., a.;loc.  Chêne-fourchu.  Le  jeu  de  « châgne-forché »  consisteàse maintenir,  en  s'ap-  puyant  sur  les  mains,  la  tête  contre  terre  et  les  jam-  bes dressées  en  l'air  avec  un  certain  écartement.  Dans  cette  position,  le  patient  représente  la  fourche  d'un  arbre.  Quelques  parties  du  Morvan  désignent  le  même  jeu  sous  le  nom  de  «  châgne-dreit.  »  Faire  «  le  châgne-dreit  »  ou  «  le  châgne-forché  »,  c'est  un  même  divertissement  à  l'usage  de  ceux  cjui  ne  craignent  pas  les  coups  de  sang.  Néanmoins  dans  le  premier  de  ces  exercices ,  on  n'écarte  pas  les  jambes.  En  Anjou  le  jeu  dont  il  s'agit  est  appelé  «  pique-chêne.  »  En  Saintonge  on  le  nomme  aussi  «  châgne-dreit.  »  Rabelais  connaissait  le  divertis-  sement du  a.  châgne-forché.  »  Panurge,  en  danger  de  se  noyer,  s'écria  :  «  A  ceste  heure  fais  bien  à  poinct  l'arbre  forchu,  les  piedz  à  mont,  la  teste  en  bas.  »  [Pantagruel,  iv,  19.)
CHAGROULEIIAN,;s., m.;s.  m.  Action  de  la  gelée  sur  la  terre  qui  se  désagrège,  se  crevasse,  se  fend.  Le  «  chagrouleman  »  est  très  nuisible  aux  récoltes,  parce  que  les  plantes  d'un  sol  «  chagroulé  »  se  trouvant  déchaussées  sont  exposées  sans  abri  aux  intempéries  de  la  saison.  (Voy.  Chailmineman.)
CHAJTUTER,;a., Morv., n., fr.;a.  Tracasser,  harceler,  quereller.  Morv.  n.  En  fr.  chahuter  se  dit  de  certaines  danses  à  la  mode  dans  les  liais  publics.  Ce  mot  se  rattache  peut-être  par  quelque  lointaine  analogie  à  la  si-  gnifie, du  terme  morvandeau.  Dans  l'argot  cha-  huter a  le  sens  de  faire  du  bruit  en  se  divertissant.  Un  chahuteur  est  un  tapageur.  Berry  :  «  chahuan-  ner  »  poursuivre  de  cris.
CHAICUN,;fr.; pronom  distributif.  Chacun,  chaque  personne,  toute  personne,  qui  que  ce  soit.  On  dit  en  Morvan  comme  en  Bourgogne  :  «  un  chaicun  plieure,  un  chaicun  grogne.  »  Vi.  fr.  chaicun,  chécun.
CHAILLAS,;s., m.;"CHEILLÂS,  s.  m.  Tiges  de  chanvre  et  en  plusieurs  lieux  de  lentilles,  de  pois,  lors-  qu'elles sont  dépouillées  et  réduites  à  l'état  de  paille  sèche.  On  prononce  échaillâs  dans  q.q.  localités.  Poitou  :  «  charas  »,  paille  de  fèves,  hari-  cots, pois,  etc.  —  Berry  :  «  châlas  »,  tige  sèche  de  plusieurs  légumineuses.  Chale  qui  dans  le  Centre  signifie  écale  se  retrouve  dans  le  poitevin  «  cha-  lupe  » ,  enveloppe  de  certains  légumes  ;  —  Flandre  :  «  callots  »,  ^  plantes  sèches.  (Voy.  Eschas,  Pôzas.]"
CHAILLOT,;s., m., b., anc.;m.  Petite  pierre  qui  se  trouve  par  bancs  dans  certains  terrains  du  i\Iorv.  b.  Lorsque  le  «  chaillot  »  se  désagrège,  il  forme  une  espèce  de  gros  sable  qu'on  appelle  «  cran.  »  «  Chaillot  »  est  une  forme  anc.  de  caillou  :
CHAIL3IINER,;n.; v.  n.  Se  dit  de  la  terre  que  l'ac-  tion de  la  gelée  soulève  et  réduit  en  poussièi'e.  Nos  terres  granitiques  et  légères  sont  très  sujettes  à  «  chailminer  «  pendant  l'hiver.  Le  préfixe  chai  indique-t-il  une  assimilation  avec  la  chaux  pulvé-  risée par  la  fusion  ?
CHAINEAU,;s., m., fr.; m.  Chenal,  chéneau,  gouttière  qui  reçoit  les  eaux  du  toit.  Vi.  fr.  chenal,  cheneau,  chaisneau,  gouttière,  tuyau  de  conduite  pour  les  eaux.
CHAINETTE,;s., f., dimin., fr.;f.  Échenal,  gouttière.  Usité  seulement  dans  les  villes  du  Morvan.  Les  toitures  de  chaume  s'égouttent  ordinairement  sur  le  sol.  Chainette  =  cannette,  dimin.  de  canne,  comme  cannelle  et  canule  en  fr.
CHAIPEAI,;s., m., Morv., n.;m.  Chapeau.  Morv.  n.  «chapiau».  «  Chaipea  »,  usité  en  Bourg.,  se  mouille  dans  la  forme  «  chaipeai  ».  Wallon  :  «  chapai  ».  Quelques  dialectes  prononçaient  «  chapial,  chaipial  »,  dont  la  consonne  finale  demeurait  muette.  Aux  env.  d'Anost,  on  dit  encore  chapiâ  :
CHAIPELET,;s., m.;s.  m.  Chapelet  :
CHAIPITE,;s., m.;s.  m.  Chapitre.
CHAIPOUTER,;V., a.;"V.  a.  Tailler,  hacher  le  bois  avec  la  cognée,  la  serpe  ou  tout  autre  instrument  tran-  chant. Tous  nos  paysans  «  chaipoutent  »  plus  ou  moins,  mais  assez  grossièrement.  Beaucoup  d'entre  eux  fabriquent  des  sabots  pour  leur  usage  ou  pour  être  vendus  dans  les  villes  voisines.  ""Vivant  à  la  proximité  des  forêts,  ils  acquièrent  dès  le  bas  âge  une  profonde  connaissance  de  tous  les  emplois  possibles  de  tel  ou  tel  arbre.  De  là  naissent  de  très  nombreux  délits  en  matière  forestière."
CHAIPOUTOU,;s., m.;s.  m.  Celui  qui  hache,  qui  coupe,  qui  travaille  le  bois  plus  ou  moins  adroitement.  Dans  la  Suisse  rom.  le  «  capotti  »  est  un  mauvais  charpentier  ou  en  général  un  gâte-métier.  En  Languedoc  «  capoulaïre,  capusaïre  »  désignent  celui  qui  coupe  en  morceaux,  celui  qui  menuise  ''  le  bois.  —  Fr. -Comté   :    «   chapu   »,    menuisier.
CHAIQUE,;adj.; adj.  des  deux  genres.  Chaque.
CHAIR,;s., m., loc., fr.;"m.  Char,  chariot  ;  longue  voiture  à  quatre  roues  qui  sert  à  divers  usages  et  qui  est  d'un  emploi  général  dans  une  grande  partie  du  Morvan.  Plusieurs  loc.  cependant  ne  connaissent  que  la  charrette  appelée  «  chairotte  »  ou  «  çai-  rotte  »,  voiture  à  deux  roues.  C'est  avec  le  char  ou  la  charrette  que  les  habitants  transportent  les  bois  de  moule  ou  autres,  les  foins,  les  pailles,  etc.  La  prononc.  du  mot  varie  souvent.  En  beaucoup  de  lieux  on  dit  «  chair  »  ou  «  çair.  »  Aux  env.  des  villes  la  forme  fr.  char  a  prévalu  :"
CHAIRBOILLER,;a.;" v.  a.  Noircir,  salir,  rendre  terne  ;  au  fig.  assombrir."
CHAIRBONETTE;s., f.; CHAIRBOUNETTE ,  s.  f.
CHAIRDONNERI;s., m.; s.  m.  Chardonnet,  mem-  brure qui  forme  le  montant  d'une  porte  de  grange  et  où  s'attachent  les  gonds.
CHAIRETIN,;s., m., Voy.; m.  Charretin,  carcasse  de  char-  rette, la  charrette  sans  les  roues.  Se  compose  de  l'aiguille,  des  deux  gouttereaux  et  des  épai'es.  Voy.  ces  mots.  Dans  le  Dict.  de  la  langue  française  :  «  charretin  »,  espèce  de  charrette  sans  ridelles.  Cette  définition  est  inexacte.  Un  texte  cité  par  Duc.  à  Charretium,  montre  que  l'anc.  signifie,  de  charretin  est  charrette  sans  roues,  corps  de  char-  rette :  «  Ledit  Colin  avoit  prins  la  charrette  ferrée
CHAIRGI,;fr.; E,  part,  passé.  Chargé  avec  la  même  signifie,  qu'en  fr.  :  «  eune  chairotte  chairgie.  »  Or  le  metez  en  la  charete  Car  ele  n'est  pas  trop  Chargie.
CHAIRMER,;V., a.;V.  a.  Charmer,  exercer  une  action  cxtranaturclle  à  l'aide  de  la  magie,  fasciner.  Beau-  coup de  nos  paysans  croient  encore  que  les  sor-  ciers et  même  les  prêtres  peuvent  charmer  un  nuage  pour  changer  sa  direction,  le  feu  pour  ar-  rêter ses  progrès,  une  plaie  ou  une  maladie  pour  les  guérir,  etc.  Ils  ne  croient  pas  moins  que  la  même  puissance  occulte  peut  agir  en  sens  contraire  pour  opérer  le  mal.  On  lit  dans  un  passage  cité  par  Duc.  à  Carmen,  que  plusieurs  individus  blessés  grièvement  guérirent,  «  sauf  l'un  d'eux  qui  avoit  fait  Charmer  sa  plaie  sans  autre  remède  y  quérir.»  Le  roman  de  Dolopathos,  -  v.  8428,  -  met  en  scène  un  personnage  qui  charme  les  brebis  pour  les  sauver  du  loup  :
CHAIROI,;s., m., loc.; m.  Charroi,  transport  d'un  lieu  à  un  autre  au  moyen  de  bœufs  ou  de  chevaux  attelés  :  être  en  bon  «  charroi  »,  au  fig.,  être  en  bonne  voie,  en  bon  chemin,  dans  une  entreprise.  Être  en  mauvais  «  charroi  »  exprime  l'idée  contraire.  Cette  loc.  s'appuie  sur  une  des  acceptions  du  mot  quel-  quefois usité  pour  chemin,  route.  Vénus  cherchant  son  fils  Cupidon  :
CHAIROTTE,;s., f., Morv., n.;f.  Charrette,  voiture  à  deux  roues  attelée  de  bœufs  ou  de  vaches.  Morv.  n.  «  carotte,  çairotte.  »
CHAIRUE,;s., f., fr.; f.  Charrue,  inslrumcnt  de  laliou-  rage.  Charrue  est  une  syncope  du  latin  carruca  ou  carrucha,  en  fr.  carrucjue,  qui  désignait  un  cha-  riot chez  les  Romains  ou  môme  une  chaise  curule,  à  cause  de  ses  quatre  pieds.  Le  picard  a  conservé  la  forme  en  c  dur  :  «  carue  ».  Les  procès-verbaux  de  visite  des  feux,  au  XVIP  siècle,  dans  le  bailliage  de  Dijon,  reproduisent  exclu.sivement  la  forme  cherrue  :
